titulo,empresa,modalidad,tipo_horario_norm,categoria,nivel_seniority,es_ti,es_remoto,largo_descripcion
analista qa (banca/finanzas),no especificada,Híbrido,Full time,QA / Testing,No especificado,True,False,24
analista qa funcional – canales digitales (web & app),no especificada,Híbrido,Full time,QA / Testing,No especificado,True,False,24
analista qa sr,no especificada,Híbrido,Full time,QA / Testing,No especificado,True,False,24
analista qa,no especificada,Híbrido,Full time,QA / Testing,No especificado,True,False,24
analista recursos humanos,"servicios de salud, santiago",Presencial,Full time,Recursos Humanos,No especificado,False,False,89
analista senior marketing digital - bupa santiago,clínica bupa santiago,Presencial,Otro,Otros,Senior,True,False,166
analista senior de compras estratégicas y contratos,analista senior de compras estratégicas y contratos,Presencial,Full time,Otros,Senior,False,False,153
analista senior de datos y modelamiento oracle bi (obi),no especificada,Remoto,Full time,Data / BI,Senior,True,True,24
analista senior de finanzas y administración industrial,latam work,Presencial,Full time,Otros,Senior,False,False,152
analista senior de finanzas y administración,latam work,Presencial,Full time,Otros,Senior,False,False,130
